,muscle,visceral,subcutaneous,background
jaccard,0.8747787172124208,0.7193943104648568,0.8923747200119508,0.9648421304577608
dice,0.9312669309790257,0.8273526343014397,0.9399865362680547,0.9820094355059743
tpf,0.9469024634147972,0.8147537612742046,0.9386250273604847,0.9812050600766832
fpf,0.0068247177644973536,0.008218535672870146,0.004286817825529042,0.06445254670251287
